id,happiness,birth,edu,income,floor_area,height_cm,weight_jin,health,media_5
119,3,1948,6,33600,28,150,95,4,5
120,3,1973,3,3000,200,173,140,3,1
121,4,1954,4,25000,70,162,130,5,1
122,4,1971,12,50000,140,173,180,4,4
123,4,1987,6,30000,35.7,160,170,4,4
124,5,1988,6,50000,200,173,130,4,4
125,4,1992,12,0,120,168,120,4,5
126,4,1965,4,2000,66,160,132,4,1
127,5,1984,5,-3,200,160,110,4,4
128,2,1978,3,24000,120,170,120,4,4
129,5,1956,9,93600,70,176,169,3,4
130,3,1961,3,7000,70,160,130,4,1
131,4,1983,12,30000,150,178,145,4,5
132,4,1971,4,60000,120,178,159,2,5
133,5,1991,12,40000,70,156,98,4,5
134,3,1974,6,120000,100,165,120,4,5
135,4,1977,6,30000,300,158,120,4,3
136,3,1966,4,10000,260,163,130,4,1
137,4,1992,12,0,250,174,114,2,5
138,5,1947,3,24000,174,156,120,5,1
139,4,1936,1,0,200,155,80,4,1
140,3,1957,6,40000,94,178,140,5,1
141,4,1996,12,0,100,160,96,4,5
142,4,1997,6,0,160,170,98,5,5
143,4,1993,11,-1,150,150,80,5,5
144,5,1944,3,-2,40,150,110,2,1
145,4,1983,4,-3,70,170,120,3,1
146,5,1994,4,0,30,165,110,4,5
147,4,1948,3,20000,400,160,140,4,1
148,4,1960,4,15000,270,167,124,4,1
149,4,1996,10,3000,85,170,135,4,5
150,2,1969,1,1200,50,172,140,1,1
151,3,1966,6,24000,90,150,85,4,1
152,4,1954,4,30000,20,170,135,4,1
153,4,1990,11,0,230,163,108,5,4
154,4,1948,1,1000,200,158,144,4,1
155,3,1966,4,25000,150,146,78,3,1
156,5,1953,3,0,120,155,115,1,1
157,5,1953,10,15000,117,170,130,4,1
158,2,1961,6,0,100,151,63,2,1
159,3,1973,3,50000,10,167,120,4,2
160,3,1962,4,11000,70,164,120,2,1
161,4,1970,4,36000,200,170,120,4,5
162,5,1956,6,12000,95,150,100,3,1
163,5,1952,4,660,90,168,156,5,3
164,5,1951,1,1000,200,165,110,5,1
165,4,1982,13,60000,93,162,104,4,5
166,4,1987,1,-3,120,160,110,3,5
167,4,1974,6,40000,50,173,110,4,3
168,4,1970,1,20000,50,173,140,4,2
169,4,1980,6,15000,140,159,115,4,4
170,4,1951,3,20000,100,162,114,2,1
171,2,1968,3,6000,60,160,110,2,1
172,2,1977,1,10000,160,150,120,4,1
173,4,1970,3,0,120,150,120,3,4
174,5,1937,4,37500,68.9,176,140,4,1
175,3,1964,1,20000,120,158,132,2,1
176,4,1988,3,40000,40,167,104,3,4
177,3,1963,4,8000,300,174,130,3,1
178,4,1989,13,0,24,165,110,5,5
179,4,1950,3,20000,134,168,120,3,1
180,5,1991,12,800,115,180,145,4,4
181,2,1975,3,12500,600,170,130,4,1
182,4,1993,4,0,200,158,100,3,5
183,2,1985,4,500,60,170,118,1,3
184,4,1963,3,0,60,158,95,4,1
185,5,1992,12,15000,115,174,114,2,5
186,5,1995,4,24000,320,163,102,5,5
187,4,1982,6,30000,180,168,100,4,3
188,4,1957,1,2000,200,160,125,4,1
189,3,1939,4,2000,60,165,110,2,1
190,4,1974,12,40000,110,158,110,4,4
191,4,1974,12,60000,70,165,160,4,5
192,4,1963,4,80000,100,175,65,4,2
193,4,1934,1,3000,100,150,120,5,1
194,4,1991,9,-2,30,165,107,5,5
195,4,1964,3,1000,200,167,140,4,1
196,2,1970,3,6500,80,156,100,4,1
197,5,1927,3,24000,40,150,93,3,1
198,4,1947,6,42000,63.5,158,130,4,2
199,5,1987,3,20000,140,178,120,2,4
200,4,1962,6,5000,45,172,150,3,1
201,3,1958,4,3000,60,154,108,2,1
202,4,1972,10,50000,80,172,120,3,5
203,4,1989,-8,60000,140,165,100,5,5
204,2,1958,3,0,30,156,110,1,1
205,3,1953,4,500,240,160,150,3,1
206,4,1954,4,48000,12,180,163,4,3
207,5,1958,1,20000,68,156,120,4,1
208,2,1978,3,0,109,153,122,2,1
209,4,1963,3,10000,70,160,130,3,1
210,4,1942,3,1700,124,168,130,4,1
211,4,1957,6,20000,40,163,120,2,1
212,4,1969,6,120000,120,160,120,3,4
213,4,1968,3,30000,55,152,110,4,3
214,3,1985,3,-2,110,171,120,5,5
215,4,1958,3,-1,160,155,90,4,1
216,5,1977,12,60000,100,165,100,5,5
217,3,1990,3,5000,100,145,80,4,1
218,5,1973,4,25000,90,168,130,4,2
219,3,1975,6,25000,27,156,115,4,5
220,4,1966,4,14000,70,165,150,4,1
221,5,1954,6,20000,200,170,158,2,1
222,4,1957,6,20000,110,180,158,4,1
223,4,1971,1,-1,100,155,106,2,1
224,4,1991,4,4000,120,170,120,4,4
225,4,1955,3,24000,80,170,110,4,2
226,4,1948,4,12000,60,155,140,4,1
227,4,1953,1,-2,120,160,90,4,1
228,4,1953,3,17000,67,167,130,2,1
229,4,1960,4,10000,40,161,100,2,1
230,4,1960,10,120000,107,178,190,3,5
231,4,1993,12,2000,230,182,145,5,5
232,4,1979,7,90000,56,157,108,4,5
233,5,1949,4,37200,52.7,174,144,5,1
234,5,1964,4,10000,130,175,190,2,1
235,3,1987,4,20000,25,163,114,5,5
236,4,1958,4,20000,50,179,170,4,2
237,5,1997,6,0,63,183,155,5,5
238,5,1996,7,10000,100,160,110,4,5
239,2,1956,4,8000,150,173,140,3,1
240,4,1982,4,24000,130,160,110,4,2
241,4,1973,4,10000,200,173,140,5,1
242,4,1938,2,1900,60,155,148,3,1
243,4,1990,10,60000,200,172,125,4,4
244,4,1970,4,20000,80,166,140,3,1
245,3,1976,3,10000,240,162,140,3,1
246,3,1964,6,-2,50,173,79,3,4
247,5,1952,10,69600,68.3,165,110,3,1
248,4,1938,3,6000,53,158,100,2,1
249,4,1972,1,4000,80,150,87,5,1
250,5,1988,10,24000,100,164,120,4,5
251,4,1954,6,2000,67,155,120,5,1
252,4,1981,4,25000,97,172,160,3,5
253,4,1935,3,700,75,165,100,4,1
254,5,1975,3,20000,154,175,130,5,1
255,4,1951,4,38000,54,172,160,3,1
256,4,1954,4,36000,98,157,117,4,4
257,4,1956,1,7000,70,178,145,3,1
258,3,1980,4,11000,17,156,120,3,3
259,4,1994,12,24000,80,176,160,4,5
260,4,1954,1,10000,300,150,120,4,1
261,4,1991,9,10000,120,177,120,4,3
262,4,1970,13,60000,70,175,150,4,5
263,4,1996,12,0,130,168,110,4,5
264,3,1973,3,0,57,160,115,3,1
265,3,1956,3,0,60,165,130,4,4
266,2,1949,1,10000,300,155,80,2,1
267,5,1975,4,40000,62,159,102,4,4
268,4,1955,3,10000,200,168,115,4,1
269,4,1939,4,42000,40,164,114,3,1
270,4,1986,4,0,97,157,105,4,4
271,4,1943,3,6060,56,158,120,5,1
272,3,1972,3,5000,200,165,120,4,1
273,5,1966,6,10000,105,174,135,2,4
274,5,1981,7,0,60,164,90,4,4
275,4,1992,11,0,200,165,96,3,4
276,5,1997,4,10000,60,163,104,5,4
277,4,1986,10,50000,50,163,98,4,5
278,5,1993,12,5000,100,165,106,4,5
279,4,1962,1,1500,220,167,193,3,2
280,4,1939,2,30000,90,158,108,4,1
281,4,1959,6,31200,70,155,100,5,5
282,4,1993,12,0,180,174,112,4,5
283,2,1970,1,3000,180,150,80,3,1
284,5,1941,7,43000,36,165,145,4,4
285,4,1970,4,20000,120,168,164,3,5
286,4,1960,6,26400,27,175,145,4,4
287,4,1970,5,100000,90,170,150,4,4
288,5,1960,1,3000,100,155,90,5,1
289,4,1976,3,30000,200,165,140,4,2
290,4,1943,3,0,150,165,84,4,1
291,4,1951,4,36000,77,167,160,3,5
292,4,1987,6,50000,150,177,200,4,5
293,3,1969,3,60000,90,165,110,5,1
294,4,1995,9,20000,240,160,100,3,4
295,4,1933,1,30000,143,169,120,4,1
296,4,1964,4,2000,200,150,90,2,-8
297,4,1982,3,30000,30,165,130,5,2
298,4,1969,1,1000,30,150,84,2,1
299,4,1950,1,0,98.4,153,90,3,1
300,4,1954,6,20000,13,175,170,4,3
301,3,1948,4,10000,120,150,90,4,3
302,3,1983,4,30000,50,158,100,4,4
303,4,1972,6,30000,80,170,124,3,4
304,5,1996,6,20000,100,162,110,5,4
305,5,1987,3,50000,120,165,110,2,5
306,5,1956,4,40000,240,165,130,5,1
307,4,1995,12,0,70,173,110,5,5
308,5,1977,12,80000,60,165,110,2,4
309,5,1953,1,24000,150,160,150,4,1
310,4,1976,4,0,170,157,120,3,5
311,3,1944,2,-1,120,150,100,2,1
312,4,1975,6,0,90,164,115,4,3
313,4,1950,4,-3,75,172,120,3,1
314,4,1963,4,30000,110,152,110,3,1
315,5,1963,6,50000,90,175,150,2,1
316,3,1981,11,100000,60,160,125,3,5
317,4,1976,4,30000,200,173,130,3,1
318,4,1967,3,0,160,165,150,2,1
319,4,1969,3,10000,66,160,120,4,1
320,4,1985,5,40000,107,180,160,5,5
321,4,1945,3,20000,64,166,115,3,1
322,4,1964,3,0,80,160,108,4,1
323,4,1980,10,50000,50,169,115,4,4
324,5,1966,3,50000,260,170,150,4,4
325,2,1972,11,48000,100,154,96,4,4
326,3,1963,4,15000,100,165,100,5,4
327,4,1950,4,36000,87,167,130,4,2
328,4,1966,3,9000,170,155,120,4,1
329,3,1992,4,-1,300,158,126,5,5
330,5,1978,12,24000,78.8,152,101,5,5
331,4,1985,4,10000,150,167,102,5,5
332,1,1962,1,1000,59,162,116,2,3
333,4,1992,12,-1,60,174,120,4,4
334,5,1987,3,30000,80,160,130,5,4
335,4,1949,4,24000,60,170,120,3,1
336,4,1945,1,15000,200,168,130,4,1
337,5,1955,6,30000,130,170,140,4,3
338,5,1956,4,3000,100,160,140,3,1
339,4,1950,3,30000,55,170,150,2,1
340,4,1989,6,0,100,170,130,5,3
341,4,1944,1,5940,150,165,120,2,1
342,4,1967,6,60000,69,173,153,4,4
343,4,1990,12,0,69,170,130,4,4
344,4,1978,6,20000,500,166,124,5,4
345,4,1935,12,38000,72.1,170,100,4,1
346,5,1981,13,300000,75,170,130,5,5
347,5,1968,4,-1,110,167,106,4,4
348,4,1996,6,0,130,170,108,4,5
349,2,1982,4,10000,200,170,120,4,2
350,4,1974,4,14000,120,169,170,2,2
351,4,1972,6,25000,93,172,130,4,4
352,5,1984,11,27000,95,160,105,4,4
353,4,1988,10,84000,68.7,171,140,4,5
354,3,1961,3,6500,320,153,115,4,1
355,4,1987,12,70000,100,157,130,4,5
356,4,1952,6,0,130,170,140,4,1
357,2,1952,3,20000,40,175,150,2,1
358,3,1988,4,0,310,158,110,4,5
359,4,1977,4,40000,50,173,150,5,4
360,3,1964,4,20000,300,167,120,2,1
361,2,1964,1,0,90,160,130,2,1
362,4,1955,4,35000,80,146,110,4,1
363,3,1976,7,-3,100,164,100,4,3
364,4,1992,11,50000,120,168,120,5,5
365,4,1986,7,40000,74,150,90,5,5
366,5,1949,3,2000,70,160,104,3,1
367,5,1958,1,10000,148,160,120,3,1
368,4,1968,3,30000,84,155,110,5,1
369,3,1990,6,30000,80,173,132,4,4
370,4,1980,10,60000,500,173,110,4,4
371,5,1951,2,30000,120,160,120,3,2
372,3,1977,7,40000,110,175,120,4,4
373,4,1970,1,13000,120,160,138,3,1
374,3,1948,3,10000,170,170,120,3,1
375,4,1964,4,30000,200,172,140,4,3
376,5,1949,10,50000,69.7,156,134,3,1
377,2,1949,3,2600,120,168,120,3,1
378,1,1956,3,16800,45,170,150,3,3
379,4,1988,4,0,100,150,100,4,2
380,4,1978,12,99000,54,165,120,4,4
381,5,1967,4,10000,240,167,100,3,1
382,4,1956,6,36000,34,160,115,4,5
383,4,1954,4,12000,120,160,144,3,1
384,4,1992,4,28000,90,156,90,4,1
385,4,1997,6,-1,130,167,88,5,5
386,2,1964,3,6000,120,168,140,2,1
387,5,1988,7,80000,108,172,120,3,4
388,5,1964,4,-2,60,180,160,4,5
389,4,1954,6,19000,58,166,150,4,1
390,3,1970,7,8000,40,165,120,3,4
391,3,1988,9,30000,300,180,110,3,4
392,3,1955,4,-1,108,159,110,2,1
393,2,1965,3,20000,40,180,160,2,2
394,4,1989,10,20000,96,162,110,5,5
395,4,1958,1,1000,150,160,90,3,1
396,3,1954,1,2000,90,155,100,2,1
397,2,1993,6,0,130,165,100,4,2
398,4,1957,4,18000,63,162,120,4,2
399,3,1967,7,100000,140,173,140,4,5
400,3,1990,4,0,360,170,145,3,3
401,4,1923,1,0,100,160,100,4,1
402,5,1987,4,0,100,170,109,5,3
403,3,1935,1,1000,90,177,135,2,1
404,4,1965,4,12000,30,160,130,3,5
405,3,1951,3,21600,270,150,110,4,1
406,4,1979,12,130000,113,180,160,4,4
407,4,1933,3,20000,220,156,120,2,1
408,4,1960,4,15000,120,170,130,4,2
409,4,1957,4,18000,127,160,100,2,1
410,5,1950,3,3000,150,158,120,5,1
411,4,1948,1,1500,60,160,145,4,1
412,3,1973,11,200000,49.8,178,140,4,5
413,4,1977,7,0,95,170,135,4,2
414,4,1940,4,1700,250,160,100,4,1
415,4,1963,6,50000,70,165,136,2,3
416,5,1948,3,20000,45,176,142,4,1
417,3,1950,3,0,90,170,108,4,1
418,4,1947,7,39600,29,172,120,3,1
419,2,1982,4,40000,80,160,125,5,4
420,5,1974,3,0,70,155,110,4,1
421,5,1937,3,0,400,145,120,4,1
422,4,1987,12,-3,100,160,50,4,5
423,1,1985,4,10000,97,160,110,3,3
424,3,1982,10,70000,200,163,122,4,5
425,2,1962,4,9600,100,156,95,3,5
426,5,1957,10,70000,155,173,128,5,3
427,4,1965,1,0,110,158,120,2,1
428,5,1968,3,40000,10,154,150,2,1
429,3,1964,5,0,200,152,130,4,1
430,4,1950,3,20000,240,175,130,3,1
431,4,1929,4,45000,120,160,95,1,1
432,4,1965,11,100000,86,166,130,4,3
433,4,1938,3,8000,300,173,120,3,1
434,4,1975,4,0,75,168,120,4,2
435,4,1967,4,25000,89,170,120,4,1
436,4,1986,3,0,150,158,120,5,3
437,5,1930,1,0,23,150,90,4,1
438,4,1992,12,-1,80,167,110,4,5
439,4,1954,1,3000,220,162,115,3,1
440,4,1958,3,1000,300,162,120,2,1
441,5,1979,4,10000,100,158,120,5,4
442,4,1957,11,100000,280,170,143,5,1
443,2,1964,3,8000,300,160,100,2,1
444,3,1962,2,20000,82,167,95,5,1
445,4,1943,3,24000,70,172,130,2,1
446,4,1957,6,20000,20,160,90,3,2
447,4,1991,13,0,116,172,120,4,5
448,4,1984,4,500,120,150,90,4,4
449,4,1981,4,15000,100,170,160,4,3
450,4,1986,4,10000,110,162,108,5,5
451,3,1969,3,30000,70,163,110,4,2
452,4,1942,3,5360,43,167,170,2,1
453,4,1975,4,12000,100,160,120,4,1
454,5,1922,6,1000,180,175,122,5,1
455,5,1977,7,40000,110,162,110,5,3
456,4,1978,3,0,120,167,140,4,1
457,4,1947,1,2000,100,150,90,4,1
458,4,1972,3,3000,80,160,110,3,5
459,4,1994,12,240,105,160,92,5,4
460,4,1948,3,0,86,153,150,4,2
461,4,1945,6,0,500,150,130,4,2
462,4,1977,4,10000,70,158,108,2,3
463,4,1982,11,80000,60,172,155,3,5
464,4,1954,3,6000,300,157,120,2,1
465,4,1983,11,90000,110,180,150,4,4
466,4,1973,3,0,100,155,120,2,1
467,2,1962,6,37200,64.6,162,130,3,5
468,3,1964,3,3000,200,160,125,2,1
469,4,1975,4,40000,60,155,110,3,3
470,4,1976,4,20000,80,162,160,4,1
471,4,1965,6,10000,82.5,155,130,4,1
472,4,1958,1,3000,100,155,125,3,1
473,4,1959,1,10000,100,175,130,4,1
474,3,1966,3,0,98,150,110,5,1
475,3,1969,4,36000,100,162,126,3,5
476,4,1979,6,90000,70,165,100,5,5
477,4,1948,4,0,130,168,163,4,2
478,5,1978,7,30000,70,160,120,5,2
479,4,1997,6,0,50,178,120,5,5
480,4,1997,4,0,20,156,150,5,5
481,3,1993,4,20000,80,165,100,3,3
482,5,1975,6,100000,109,165,110,4,4
483,4,1949,3,2000,60,176,120,3,1
484,4,1943,3,0,40,155,90,2,1
485,4,1975,1,2000,55,165,100,4,1
486,4,1967,4,100000,80,155,90,4,4
487,5,1991,4,15000,140,175,162,3,4
488,5,1941,1,10680,60,150,105,4,1
489,4,1975,4,5000,30,160,100,4,1
490,5,1989,6,30000,220,185,200,4,4
491,4,1935,1,0,240,153,96,2,1
492,5,1951,4,15000,100,157,124,4,3
493,5,1979,4,100000,60,175,150,5,3
494,2,1969,3,30000,90,161,122,4,5
495,4,1976,3,30000,350,161,100,4,3
496,4,1971,4,100000,20,180,140,2,2
497,4,1982,4,15000,40,170,150,4,3
498,4,1987,4,0,57,165,150,5,5
499,3,1949,3,10000,210,155,101,2,1
500,4,1965,3,-3,140,159,120,3,1
501,4,1972,7,40000,69,173,160,5,5
502,3,1970,3,50000,80,175,150,5,1
503,3,1950,4,10000,69,183,140,5,1
504,4,1993,6,0,125,178,120,4,5
505,4,1994,12,-1,40,167,100,3,5
506,5,1965,4,20000,225,160,140,5,1
507,5,1951,3,4300,44,156,100,4,1
508,4,1997,6,-1,171,158,88,5,5
509,4,1967,6,90000,160,167,140,5,1
510,4,1986,3,50000,20,170,150,4,5
511,4,1944,1,3000,100,160,120,2,1
512,4,1990,12,10000,140,170,140,5,5
513,4,1996,10,0,10,166,108,4,5
514,4,1977,12,36000,96,173,156,5,3
515,4,1977,12,60000,45,170,130,4,5
516,4,1982,8,50000,83,180,180,5,5
517,4,1968,3,36000,800,172,123,3,1
518,3,1968,3,30000,100,175,110,4,1
519,3,1951,3,700,72,165,90,2,1
520,4,1991,10,100000,60,183,145,5,5
521,4,1969,1,0,80,160,120,3,1
522,4,1978,8,10000,100,180,120,5,4
523,4,1986,4,40000,72,179,165,3,5
524,4,1966,3,0,60,149,100,2,2
525,5,1971,11,-3,57,165,140,5,2
526,4,1961,6,70000,160,170,140,4,2
527,3,1981,3,12000,100,158,109,4,1
528,4,1949,4,21600,120,170,150,3,1
529,4,1985,12,-3,99,156,99,4,5
530,4,1964,3,-2,70,168,110,3,3
531,4,1953,4,10000,400,158,100,4,1
532,4,1953,3,1500,120,175,140,5,1
533,4,1996,6,0,170,165,130,5,4
534,5,1975,4,0,90,155,100,4,2
535,4,1962,7,25000,53,168,120,4,5
536,4,1956,7,25000,70,159,122,3,1
537,4,1975,4,-3,130,180,200,5,3
538,4,1979,11,28000,50,172,132,4,5
539,3,1949,3,2000,80,150,90,5,1
540,5,1972,3,40000,120,165,130,5,1
541,3,1965,4,50000,105,150,80,3,2
542,4,1975,4,10000,35,170,130,3,1
543,4,1952,7,37200,68,156,125,4,4
544,4,1955,1,2000,150,160,90,2,1
545,5,1993,12,0,100,160,110,5,4
546,4,1973,5,30000,20,170,140,5,4
547,1,1965,4,0,10,163,140,4,1
548,3,1956,6,13200,71,173,142,2,1
549,4,1970,4,30000,86,169,135,4,2
550,4,1960,4,2000,80,170,115,2,1
551,4,1934,1,70000,103,174,142,4,1
552,4,1963,12,50000,130,178,150,4,5
553,4,1946,4,5000,160,158,136,3,2
554,3,1940,2,1500,300,170,95,3,1
555,4,1968,9,75000,72,165,140,4,3
556,2,1986,9,60000,60,170,130,3,3
557,4,1964,4,10000,200,164,140,4,1
558,4,1965,4,500,36,162,117,1,4
559,4,1995,10,0,180,170,104,5,5
560,4,1968,10,100000,90,165,120,4,4
561,5,1985,13,110000,90,163,120,4,5
562,4,1942,1,0,200,157,120,3,1
563,4,1981,12,30000,110,160,125,5,5
564,4,1992,12,-1,110,161,95,4,4
565,4,1952,1,0,100,160,110,4,1
566,4,1945,4,10000,150,170,147,2,1
567,4,1970,4,0,80,158,100,3,2
568,4,1991,8,0,110,160,110,4,5
569,3,1952,3,4500,100,170,100,3,1
570,4,1954,1,3000,250,158,160,3,1
571,4,1972,11,400000,82,175,130,4,5
572,4,1973,6,30000,120,175,144,5,4
573,4,1993,12,600,600,180,150,5,4
574,4,1970,4,-2,400,170,130,4,4
575,3,1967,6,60000,300,165,120,2,1
576,5,1980,7,30000,87,181,160,5,5
577,5,1970,4,40000,60,158,128,4,5
578,4,1933,3,24000,42,160,90,3,1
579,4,1943,4,0,100,167,130,3,1
580,5,1938,3,5000,100,160,126,2,1
581,4,1973,4,25000,100,170,132,4,4
582,4,1953,4,10000,58,160,101,3,4
583,3,1961,1,10000,100,171,130,3,2
584,4,1959,4,7000,140,160,97,4,1
585,4,1961,3,2000,100,175,160,5,3
586,3,1951,3,10000,36,165,124,2,1
587,4,1948,3,2000,220,150,85,3,1
588,4,1939,1,6000,50,170,130,3,1
589,5,1975,12,72000,84,162,120,4,2
590,5,1992,4,20000,20,173,130,4,3
591,4,1965,4,3000,200,165,110,5,2
592,5,1968,4,100000,54,165,150,5,3
593,4,1973,3,-1,20,165,120,3,1
594,4,1966,4,0,160,164,130,2,5
595,4,1996,12,0,25.5,164,104,5,5
596,4,1943,3,14000,160,145,108,3,1
597,4,1963,4,-3,7,162,103,5,5
598,4,1961,7,40000,75,170,140,4,4
599,4,1997,10,1000,100,180,130,4,5
600,4,1962,9,30000,120,162,120,3,3
601,3,1928,1,0,90,145,80,3,1
602,3,1945,4,30000,49.9,158,120,2,1
603,2,1947,3,1660,50,165,130,1,1
604,4,1967,3,20000,360,172,165,4,1
605,4,1945,1,0,220,159,120,3,1
606,4,1939,1,1300,50,165,100,4,1
607,4,1993,12,0,138,168,125,5,5
608,4,1973,6,20000,70,178,140,3,4
609,2,1942,4,50000,42,155,140,2,3
610,-8,1975,10,-3,95,160,95,5,5
611,3,1969,3,30000,85,165,140,3,2
612,4,1975,3,30000,92,167,103,5,5
613,3,1986,4,20000,98,168,98,3,5
614,4,1989,12,36000,70,165,120,4,5
615,4,1960,4,15600,38,156,120,4,1
616,4,1942,12,960000,110,165,63,3,4
617,4,1966,3,60000,230,165,150,5,1
618,5,1948,3,1000,60,160,118,5,1
619,4,1946,9,40800,72,171,136,3,5
620,2,1955,4,2500,100,160,110,2,1
621,5,1958,3,2000,120,157,90,2,1
622,4,1949,3,1000,96,167,130,4,1
623,4,1989,12,120000,74,178,130,4,5
624,5,1956,3,10000,78,160,130,4,1
625,3,1971,7,30000,130,167,130,2,3
626,1,1968,3,30000,60,154,122,2,1
627,4,1986,10,48000,13,170,126,4,4
628,4,1953,6,50000,35,170,120,4,1
629,4,1973,4,60000,200,173,150,4,4
630,3,1982,4,30000,87,170,130,5,5
631,4,1957,1,5000,100,155,120,4,1
632,4,1997,8,-1,750,175,110,5,5
633,4,1954,1,1000,200,169,120,3,1
634,4,1967,6,2000,120,160,108,2,1
635,5,1958,4,3450,28,170,150,5,1
636,4,1985,7,0,106,170,130,3,5
